id,person_id,party_id,started_on,created_at,updated_at
1,1,1,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
2,2,2,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
3,3,3,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
4,4,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
5,5,1,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
6,6,5,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
7,7,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
8,8,6,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
9,9,7,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
10,10,8,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
11,11,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
12,12,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
13,13,9,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
14,14,10,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
15,15,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
16,16,11,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
17,17,9,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
18,18,8,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
19,19,5,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
20,20,12,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
21,21,13,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
22,22,14,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
23,23,2,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
24,24,3,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
25,25,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
26,26,4,2024-10-27,2025-12-13 09:57:59,2025-12-13 09:57:59
