id,official_name,short_name,created_at,updated_at
1,PSC - Partido Social Cristiano e Independientes,PSC,2025-12-13 09:57:59,2025-12-13 09:57:59
2,DC - Contigo Chile Mejor,DC,2025-12-13 09:57:59,2025-12-13 09:57:59
3,RN - Chile Vamos,RN,2025-12-13 09:57:59,2025-12-13 09:57:59
4,IND - Independiente fuera de pacto,IND,2025-12-13 09:57:59,2025-12-13 09:57:59
5,IND (  UDI ) - Chile Vamos,IND (  UDI ),2025-12-13 09:57:59,2025-12-13 09:57:59
6,PS - Contigo Chile Mejor,PS,2025-12-13 09:57:59,2025-12-13 09:57:59
7,IND (  PDG ) - Partido de la Gente e Independientes,IND (  PDG ),2025-12-13 09:57:59,2025-12-13 09:57:59
8,DEM - Centro Democrático,DEM,2025-12-13 09:57:59,2025-12-13 09:57:59
9,IND (  PPD ) - Contigo Chile Mejor,IND (  PPD ),2025-12-13 09:57:59,2025-12-13 09:57:59
10,UDI - Chile Vamos,UDI,2025-12-13 09:57:59,2025-12-13 09:57:59
11,IND (  PSC ) - Partido Social Cristiano e Independientes,IND (  PSC ),2025-12-13 09:57:59,2025-12-13 09:57:59
12,IND (  DC ) - Contigo Chile Mejor,IND (  DC ),2025-12-13 09:57:59,2025-12-13 09:57:59
13,IND (  RN ) - Chile Vamos,IND (  RN ),2025-12-13 09:57:59,2025-12-13 09:57:59
14,IND (  PP ) - Izquierda Ecologista Popular,IND (  PP ),2025-12-13 09:57:59,2025-12-13 09:57:59
