id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
1,1,1,1,3490,62.33,1,2025-12-12 15:17:11,2025-12-12 15:17:11
2,1,2,2,172,3.07,0,2025-12-12 15:17:11,2025-12-12 15:17:11
3,1,3,3,109,1.95,0,2025-12-12 15:17:11,2025-12-12 15:17:11
4,1,4,4,1828,32.65,0,2025-12-12 15:17:11,2025-12-12 15:17:11
5,2,5,5,4876,7.0,0,2025-12-12 15:17:13,2025-12-12 15:17:13
6,2,6,6,25911,37.18,0,2025-12-12 15:17:13,2025-12-12 15:17:13
7,2,7,7,3952,5.67,0,2025-12-12 15:17:13,2025-12-12 15:17:13
8,2,8,8,34950,50.15,1,2025-12-12 15:17:13,2025-12-12 15:17:13
9,3,9,9,8136,42.7,0,2025-12-12 15:17:15,2025-12-12 15:17:15
10,3,10,8,9652,50.66,1,2025-12-12 15:17:15,2025-12-12 15:17:15
11,3,11,4,1265,6.64,0,2025-12-12 15:17:15,2025-12-12 15:17:15
12,4,12,10,1709,3.5,0,2025-12-12 15:17:18,2025-12-12 15:17:18
13,4,13,11,11852,24.25,0,2025-12-12 15:17:18,2025-12-12 15:17:18
14,4,14,2,5437,11.12,0,2025-12-12 15:17:18,2025-12-12 15:17:18
15,4,15,12,10175,20.82,0,2025-12-12 15:17:18,2025-12-12 15:17:18
16,4,16,4,12035,24.62,1,2025-12-12 15:17:18,2025-12-12 15:17:18
17,4,17,4,7668,15.69,0,2025-12-12 15:17:18,2025-12-12 15:17:18
18,5,18,13,4036,4.86,0,2025-12-12 15:17:20,2025-12-12 15:17:20
19,5,19,6,3006,3.62,0,2025-12-12 15:17:20,2025-12-12 15:17:20
20,5,20,12,23829,28.71,0,2025-12-12 15:17:20,2025-12-12 15:17:20
21,5,21,4,4056,4.89,0,2025-12-12 15:17:20,2025-12-12 15:17:20
22,5,22,4,44746,53.91,1,2025-12-12 15:17:20,2025-12-12 15:17:20
