id,person_id,party_id,started_on,created_at,updated_at
1,1,1,2024-10-27,2025-12-12 15:17:11,2025-12-12 15:17:11
2,2,2,2024-10-27,2025-12-12 15:17:11,2025-12-12 15:17:11
3,3,3,2024-10-27,2025-12-12 15:17:11,2025-12-12 15:17:11
4,4,4,2024-10-27,2025-12-12 15:17:11,2025-12-12 15:17:11
5,5,5,2024-10-27,2025-12-12 15:17:13,2025-12-12 15:17:13
6,6,6,2024-10-27,2025-12-12 15:17:13,2025-12-12 15:17:13
7,7,7,2024-10-27,2025-12-12 15:17:13,2025-12-12 15:17:13
8,8,8,2024-10-27,2025-12-12 15:17:13,2025-12-12 15:17:13
9,9,9,2024-10-27,2025-12-12 15:17:15,2025-12-12 15:17:15
10,10,8,2024-10-27,2025-12-12 15:17:15,2025-12-12 15:17:15
11,11,4,2024-10-27,2025-12-12 15:17:15,2025-12-12 15:17:15
12,12,10,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
13,13,11,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
14,14,2,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
15,15,12,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
16,16,4,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
17,17,4,2024-10-27,2025-12-12 15:17:18,2025-12-12 15:17:18
18,18,13,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
19,19,6,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
20,20,12,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
21,21,4,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
22,22,4,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
23,23,4,2024-10-27,2025-12-12 15:17:20,2025-12-12 15:17:20
24,24,14,2024-10-27,2025-12-12 15:17:22,2025-12-12 15:17:22
25,25,15,2024-10-27,2025-12-12 15:17:22,2025-12-12 15:17:22
26,26,8,2024-10-27,2025-12-12 15:17:22,2025-12-12 15:17:22
27,27,5,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
28,28,16,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
29,29,17,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
30,30,7,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
31,31,2,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
32,32,4,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
33,33,4,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
34,34,4,2024-10-27,2025-12-12 15:17:25,2025-12-12 15:17:25
35,35,16,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
36,36,2,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
37,37,18,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
38,38,4,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
39,39,4,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
40,40,4,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
41,41,4,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
42,42,4,2024-10-27,2025-12-12 15:17:27,2025-12-12 15:17:27
43,43,19,2024-10-27,2025-12-12 15:17:29,2025-12-12 15:17:29
44,44,2,2024-10-27,2025-12-12 15:17:29,2025-12-12 15:17:29
45,45,4,2024-10-27,2025-12-12 15:17:29,2025-12-12 15:17:29
46,46,20,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
47,47,21,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
48,48,4,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
49,49,4,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
50,50,4,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
51,51,4,2024-10-27,2025-12-12 15:17:31,2025-12-12 15:17:31
52,52,4,2024-10-27,2025-12-12 15:17:32,2025-12-12 15:17:32
53,53,4,2024-10-27,2025-12-12 15:17:32,2025-12-12 15:17:32
54,54,4,2024-10-27,2025-12-12 15:17:32,2025-12-12 15:17:32
55,55,22,2024-10-27,2025-12-12 15:17:34,2025-12-12 15:17:34
56,56,8,2024-10-27,2025-12-12 15:17:34,2025-12-12 15:17:34
57,57,4,2024-10-27,2025-12-12 15:17:34,2025-12-12 15:17:34
58,58,4,2024-10-27,2025-12-12 15:17:34,2025-12-12 15:17:34
59,59,23,2024-10-27,2025-12-12 15:17:36,2025-12-12 15:17:36
